ITS	Popularidade
Apache Bloodhound	0,002
Axosoft	0,193
BMC Remedy Action Request System	0,011
Brimir	0,006
Bugzilla	16,955
FogBugz	1,692
Google Code Hosting	0,174
HP Quality Center	1,255
IBM Rational ClearQuest	0,092
JIRA	0,579
Kayako SupportSuite	0,050
Launchpad	17,855
Liberum Help Desk	0,096
MantisBT	0,319
Microsoft Dynamics CRM	4,142
org-mode	0,664
Pivotal Tracker	1,047
Plain Ticket	0,826
Planbox	0,008
QuickBase	1,874
Redmine	10,641
Request Tracker	2,138
StarTeam	2,271
Supportworks	0,090
SysAid	1,376
Targetprocess	0,012
Team Foundation Server	5,552
Twproject	0,008
TestTrack	0,512
The Bug Genie	0,017
Web Help Desk	0,942
YouTrack	0,398
